Hospital,NAME
Aguilar PLC,ACUITY SPECIALTY OHIO VALLEY
"Aguilar, Schwartz and Molina",ACUTE CARE SPECIALTY HOSPITAL - AULTMAN
"Aguilar, and Dean Williams",AD HOSPITAL EAST LLC
Aguilar-Martinez,ADAIR COUNTY MEMORIAL HOSPITAL
Aguilar-Parsons,ADAK MEDICAL CENTER - EAT
Aguilar-Pearson,ADAMS COUNTY REGIONAL MEDICAL CENTER
Aguirre Group,ADAMS MEMORIAL HOSPITAL
Aguirre LLC,ADCARE HOSPITAL OF WORCESTER INC
Aguirre Ltd,ADENA GREENFIELD MEDICAL CENTER
Aguirre-Davis,ADENA REGIONAL MEDICAL CENTER
Aguirre-Wang,ADIRONDACK MEDICAL CENTER
Alexander Group,ADIRONDACK MEDICAL CENTER-LAKE PLACID SITE
Alexander Inc,ADMINISTRACION DE SERVICIOS MEDICOS DE PR (ASEM)
Alexander PLC,ADVANCED CARE HOSPITAL OF MONTANA
Alexander-Austin,ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO
Alexander-Duncan,ADVANCED CARE HOSPITAL OF WHITE COUNTY
Alexander-Moore,ADVANCED SPECIALTY HOSPITAL OF TOLEDO
Alexander-Smith,ADVANCED SURGICAL HOSPITAL
Alexander-Stone,ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE
Ali-Byrd,ADVENTIST BOLINGBROOK HOSPITAL
Ali-Marsh,ADVENTIST GLENOAKS
"Allen Baker, Ross and",ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY
"Allen Davis Todd, and",ADVENTIST HEALTH WALLA WALLA GENERAL HOSPITAL
Allen Group,ADVENTIST HEALTHCARE BEHAVIORAL HEALTH & WELLNESS
Allen Inc,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER
Allen LLC,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL
Allen Ltd,ADVENTIST HINSDALE HOSPITAL
Allen PLC,ADVENTIST LA GRANGE MEMORIAL HOSPITAL
"Allen Rodriguez, and Stewart",ADVENTIST MEDICAL CENTER
"Allen Watson Nguyen, and",ADVENTIST MEDICAL CENTER - REEDLEY
Allen and Sons,ADVENTIST MEDICAL CENTER-SELMA
Allen-Brown,ADVENTIST REHABILITATION HOSPITAL OF MARYLAND
Allen-Fisher,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER
Allen-Gray,ADVOCATE CONDELL MEDICAL CENTER
Allen-Holland,ADVOCATE EUREKA  HOSPITAL
Allen-Johnson,ADVOCATE GOOD SAMARITAN HOSPITAL
Allen-Moore,ADVOCATE GOOD SHEPHERD HOSPITAL
Allen-Mueller,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER
Allen-Perez,ADVOCATE LUTHERAN GENERAL HOSPITAL
Allen-Price,ADVOCATE SHERMAN HOSPITAL
Allen-Scott,ADVOCATE SOUTH SUBURBAN HOSPITAL
Allen-Smith,ADVOCATE TRINITY HOSPITAL
Allen-Walsh,AFFINITY MEDICAL CENTER
Allison LLC,AHMC ANAHEIM REGIONAL MEDICAL CENTER
Allison Ltd,AIKEN REGIONAL MEDICAL CENTER
Alvarado Inc,AKRON CHILDREN'S HOSP BEEGHLY
Alvarado LLC,AKRON CHILDREN'S HOSPITAL
Alvarado PLC,AKRON GENERAL MEDICAL CENTER
Alvarez Group,ALAMANCE REGIONAL MEDICAL CENTER
Alvarez LLC,ALAMEDA CO MED CTR - FAIRMONT CAMPUS
Alvarez Ltd,ALAMEDA HOSPITAL
"Alvarez Moss Smith, and",ALAMEDA HOSPITAL-SOUTH SHORE CONVALESCENT HOSPITAL
Alvarez PLC,ALASKA NATIVE MEDICAL CENTER - ANMC
"Alvarez Wilson and Fry,",ALASKA PSYCHIATRIC INSTITUTE
Alvarez-Guerrero,ALASKA REGIONAL HOSPITAL
Alvarez-Smith,ALASKA VA HEALTHCARE SYSTEM
Alvarez-Vargas,ALBANY AREA HOSPITAL & MED CTR
"Anderson Allison, Brown and",ALBANY MEDICAL CENTER
"Anderson Craig and Berry,",ALBANY MEDICAL CENTER - SOUTH CLINICAL CAMPUS
Anderson Group,ALBANY MEMORIAL HOSPITAL
Anderson Inc,ALBERT EINSTEIN MEDICAL CENTER
Anderson LLC,ALBUQUERQUE - AMG SPECIALTY HOSPITAL LLC
Anderson Ltd,ALEDA E. LUTZ VA MEDICAL CENTER
Anderson PLC,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL
"Anderson Simmons, George and",ALEXANDER HOSPITAL
"Anderson Smith, Smith and",ALEXANDRIA VA HEALTH CARE SYSTEM
Anderson Sons and,ALEXIAN BROTHERS BEHAVIORAL HEALTH HOSPITAL
"Anderson and Alvarez Boone,",ALEXIAN BROTHERS MEDICAL CENTER
"Anderson and Cooley Lee,",ALFRED I. DUPONT HOSPITAL FOR CHILDREN
"Anderson and Humphrey Diaz,",ALHAMBRA HOSPITAL
Anderson and Sons,ALICE HYDE MEDICAL CENTER
"Anderson, Brown and Poole",ALICE PECK DAY MEMORIAL HOSPITAL
"Anderson, Novak Adams and",ALL CHILDREN'S HOSPITAL
"Anderson, and Johnson Greene",ALLEGAN GENERAL HOSPITAL
"Anderson, and Johnson Solomon",ALLEGHANY MEMORIAL HOSPITAL
Anderson-Adams,ALLEGHENY GENERAL HOSPITAL
Anderson-Boyd,ALLEGHENY VALLEY HOSPITAL
Anderson-Ellis,ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW
Anderson-Jenkins,ALLEGIANCE HEALTH CENTER OF RUSTON
Anderson-Johnson,ALLEGIANCE HEALTH CENTER PERMIAN BASIN
Anderson-Martin,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE
Anderson-Miller,ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE
Anderson-Moore,ALLEN COUNTY HOSPITAL
Anderson-Morales,ALLEN COUNTY REGIONAL HOSPITAL
Anderson-Norris,ALLEN MEMORIAL HOSPITAL
Anderson-Oneill,ALLEN PARISH HOSPITAL
Anderson-Ramos,ALLENDALE COUNTY HOSPITAL
Anderson-Silva,ALLENMORE HOSPITAL
Anderson-Warner,ALLIANCE COMMUNITY HOSPITAL
Anderson-White,ALLIANCE HEALTH SYSTEM
Anderson-Woodward,ALLIANCE HEALTHCARE SYSTEM
Anderson-Wright,ALLIANCEHEALTH CLINTON
"Andrade Stewart Gordon, and",ALLIANCEHEALTH DEACONESS
Andrade and Sons,ALLIANCEHEALTH DURANT
Andrews LLC,ALLIANCEHEALTH MADILL
Andrews PLC,ALLIANCEHEALTH MIDWEST
"Andrews and Juarez Parks,",ALLIANCEHEALTH PONCA CITY
"Andrews and Thompson, Reese",ALLIANCEHEALTH SEMINOLE
Andrews-Lee,ALLIANCEHEALTH WOODWARD
"Anthony, Schmidt Taylor and",ALLIED SERVICES REHABILITATION HOSPITAL
Anthony-Smith,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS
"Arellano and Armstrong Hensley,",ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS
Arias-Huff,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE
Armstrong Group,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT
Armstrong LLC,ALTA VIEW HOSPITAL
Armstrong PLC,ALTA VISTA REGIONAL HOSPITAL
Armstrong-Lewis,ALTON MEMORIAL HOSPITAL
Armstrong-Poole,ALTRU HOSPITAL
Arnold Inc,ALTRU REHABILITATION CENTER
"Arnold, Barajas Robles and",ALTRU SPECIALTY HOSPITAL
"Arnold, West Juarez and",ALTUS BAYTOWN HOSPITAL
Arnold-Aguirre,ALTUS LUMBERTON LP
Arnold-Johnson,ALVARADO HOSPITAL MEDICAL CENTER
Arroyo-Cervantes,ALVARADO PARKWAY INSTITUTE B.H.S.
"Ashley Newton Smith, and",AMERICAN FORK HOSPITAL
Ashley PLC,AMERICAN RECOVERY CENTER
"Ashley, Barnes Castillo and",AMERY REGIONAL MEDICAL CENTER
Atkins Inc,AMESBURY HEALTH CENTER
Atkins-Clements,AMG SPECIALTY HOSPITAL-WICHITA
Atkinson LLC,ANAHEIM GENERAL HOSPITAL - BUENA PARK CAMPUS
Atkinson Ltd,ANAHEIM GLOBAL MEDICAL CENTER
Atkinson-Johnson,ANAMOSA COMMUNITY HOSPITAL
Atkinson-King,ANCORA PSYCHIATRIC HOSPITAL
Austin Group,ANDALUSIA REGIONAL HOSPITAL
Austin Inc,ANDERSON COUNTY HOSPITAL
Austin LLC,ANDERSON HOSPITAL
"Austin, Morgan and Ellis",ANDERSON REGIONAL MEDICAL CENTER
"Austin, and Salas Blair",ANDERSON REGIONAL MEDICAL CENTER SOUTH
Austin-Johnson,ANDROSCOGGIN VALLEY HOSPITAL
Austin-Smith,ANGEL MEDICAL CENTER
Avery LLC,"ANIMAS SURGICAL HOSPITAL, LLC"
"Avery White, and Santos",ANMED HEALTH MEDICAL CENTER
Avery-Alvarez,ANMED HEALTH NORTH WOMEN'S AND CHILDREN'S HOSPITAL
Avery-Smith,ANMED HEALTH REHABILITATION HOSPITAL
Avila Group,ANN & ROBERT H LURIE CHILDREN'S HOSPITAL OF CHICAGO
Avila-Fischer,ANN KLEIN FORENSIC CENTER
Ayala Inc,ANNA HOSPITAL CORPORATION - DBA UNION COUNTY HOSPITAL
Ayers Group,ANNA JAQUES HOSPITAL
"Ayers, Davis Parker and",ANNE ARUNDEL MEDICAL CENTER
Ayers-Hess,ANNE BATES LEACH EYE HOSPITAL
Bailey Group,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER
Bailey Inc,ANNIE PENN HOSPITAL
Bailey LLC,ANSON COMMUNITY HOSPITAL
Bailey Ltd,ANSON GENERAL HOSPITAL
Bailey PLC,ANTELOPE MEMORIAL HOSPITAL
Bailey and Sons,ANTELOPE VALLEY HOSPITAL
"Bailey, and Miller Moreno",ANTHONY MEDICAL CENTER
Bailey-Davis,APOLLO BEHAVIORAL HEALTH HOSPITAL
Bailey-Dixon,APOLLO HOSPITAL
Bailey-Jones,APPALACHIAN BEHAVIORAL HEALTH CARE
Bailey-Miller,APPLETON MED CTR
Bailey-Rivera,APPLETON MUNICIPAL HOSPITAL
Bailey-Roberts,APPLING HEALTHCARE SYSTEM
Bailey-Sandoval,ARBOUR FULLER HOSPITAL
Bailey-Smith,"ARBOUR HOSPITAL, THE"
Bailey-Stewart,ARBOUR HUMAN RESOURCE INSTITUTE
"Baker Andrade, and Johnson",ARBUCKLE MEMORIAL HOSPITAL
"Baker Elliott and Miller,",ARIA HEALTH BUCKS COUNTY
"Baker Gardner Pearson, and",ARIA HEALTH FRANKFORD
Baker Group,ARIA HEALTH TORRESDALE
Baker Inc,ARISE AUSTIN MEDICAL CENTER
Baker LLC,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL
Baker Ltd,ARIZONA SPINE & JOINT HOSPITAL
"Baker Mills and Cobb,",ARIZONA STATE FORENSIC HOSPITAL
Baker PLC,ARIZONA STATE HOSPITAL
Baker Sons and,ARKANSAS CHILDREN'S HOSPITAL
"Baker and Rodriguez Garner,",ARKANSAS DEPARTMENT OF CORRECTION - OUACHITA RIVER UNIT INPATIENT CARE FACILITY
Baker and Sons,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT
Baker-Jones,ARKANSAS HEART HOSPITAL
Baker-Krause,ARKANSAS METHODIST MEDICAL CENTER
Baker-Lee,ARKANSAS STATE HOSPITAL
Baker-Quinn,ARKANSAS SURGICAL HOSPITAL
Baker-Sanchez,ARKANSAS VALLEY REGIONAL MEDICAL CENTER
Baker-Smith,ARMC BEHAVIORAL HEALTH CENTER
Baldwin Group,ARNOLD PALMER HOSPITAL FOR CHILDREN
Baldwin Inc,ARNOT OGDEN MEDICAL CENTER
Baldwin LLC,AROOSTOOK MEDICAL CENTER
Baldwin Ltd,AROOSTOOK MEDICAL CENTER - COMMUNITY GENERAL DIVISION
Baldwin PLC,AROOSTOOK MENTAL HEALTH CENTER RESIDENTIAL TREATMENT FACILITY
Baldwin and Sons,ARROWHEAD BEHAVIORAL HEALTH
Ball Group,ARROWHEAD REGIONAL MEDICAL CENTER
Ball LLC,ARTESIA GENERAL HOSPITAL
Ball-Miller,ASANTE ASHLAND COMMUNITY HOSPITAL
Ball-Oliver,ASANTE ROGUE REGIONAL MEDICAL CENTER
Ball-Peck,ASANTE THREE RIVERS MEDICAL CENTER
Ballard Ltd,ASCENSION CRITTENTON HOSPITAL MEDICAL CENTER
Ballard-Hancock,ASCENSION GONZALES REHABILITATION HOSPITAL
Ballard-Valdez,"ASHE MEMORIAL HOSPITAL, INC."
"Banks Austin, and Carter",ASHEVILLE SPECIALTY HOSPITAL
"Banks Flowers Weaver, and",ASHFORD PRESBYTERIAN COMMUNITY HOSPITAL INC
"Banks Gordon and Browning,",ASHLAND HEALTH CENTER
"Banks Molina Moody, and",ASHLEY COUNTY MEDICAL CENTER
Barajas-Whitney,ASHLEY MEDICAL CENTER
"Barber Benson, and Perry",ASHLEY VALLEY MEDICAL CENTER
"Barber Mendoza, Myers and",ASHTABULA COUNTY MEDICAL CENTER
"Barber, Rojas Carlson and",ASPEN HILLS HEALTHCARE CENTER
Barber-Adams,ASPEN MOUNTAIN MEDICAL CENTER
Barber-Perry,ASPEN VALLEY HOSPITAL
Barker Inc,ASPIRE BEHAVIORAL HEALTH OF CONROE
Barker Ltd,ASPIRE HEALTH PARTNERS INC
Barker and Sons,ASPIRUS IRON RIVER HOSPITAL & CLINICS
"Barker and Walker, Pena",ASPIRUS IRONWOOD HOSPITAL
Barker-Hoffman,ASPIRUS KEWEENAW HOSPITAL
Barker-Ochoa,ASPIRUS LANGLADE HOSPITAL
Barnes Group,"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC"
Barnes LLC,"ASPIRUS ONTONAGON HOSPITAL, INC"
Barnes Ltd,ASPIRUS WAUSAU HOSPITAL
Barnes PLC,ASSUMPTION COMMUNITY HOSPITAL
"Barnes Soto, and Andrade",ASSURANCE HEALTH CINCINNATI LLC
Barnes-Alexander,ASSURANCE HEALTH PSYCHIATRIC HOSPITAL
Barnes-Anderson,ASSURANCE PSYCHIATRIC HOSPITAL
Barnes-Griffin,ATCHISON HOSPITAL
Barnes-Hernandez,ATHENS LIMESTONE HOSPITAL
Barnes-Kelley,ATHENS REGIONAL MED CENTER
Barnes-Williams,ATHOL MEMORIAL HOSPITAL
Barnett LLC,ATLANTA VA HEALTH MEDICAL CENTER
"Barnett Wheeler and Norman,",ATLANTIC GENERAL HOSPITAL
"Barnett and Richards, Avila",ATLANTIC REHABILITATION INSTITUTE
Barnett-Harris,ATLANTIC SHORES HOSPITAL
Barnett-Solomon,ATLANTICARE REGIONAL MEDICAL CENTER
"Barrera, Miller and Black",ATLANTICARE REGIONAL MEDICAL CENTER - MAINLAND DIVISION
Barrera-Vargas,ATMORE COMMUNITY HOSPITAL
Barrett Group,ATOKA COUNTY MEDICAL CENTER
Barrett PLC,ATRIUM MEDICAL CENTER
"Barrett and Rivers Scott,",ATRIUM MEDICAL CENTER AT CORINTH
Barrett-Johnson,AU MEDICAL CENTER
Barrett-Robinson,AUBURN COMMUNITY HOSPITAL
"Barron Giles, and Morris","AUDIE L. MURPHY VA HOSPITAL, STVHCS"
Barron-Jarvis,AUDUBON COUNTY MEMORIAL HOSPITAL
Barry-Barron,AUGUSTA MEDICAL CENTER
Bartlett PLC,AULTMAN HOSPITAL
Barton LLC,AULTMAN HOSPITAL WEST
Barton-Phillips,AULTMAN ORRVILLE HOSPITAL
Barton-Sanchez,AURELIA OSBORN FOX MEMORIAL HOSPITAL
Barton-Vaughan,AURORA BAYCARE MED CTR
Bass Inc,AURORA BEHAVIORAL HEALTHCARE-PHOENIX
Bass-Bell,AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA
"Bates Barnes Jones, and",AURORA BEHAVIORAL HEALTHCARE-TEMPE
"Bates Gomez, and Larson",AURORA CHARTER OAK
Bates Inc,"AURORA CHICAGO LAKESHORE HOSPITAL, LLC - DBA AURORA CHICAGO LAKESHORE HOSPITAL"
Bates Ltd,AURORA LAKELAND MED CTR
Bates and Sons,"AURORA LAS ENCINAS HOSPITAL, LLC"
"Bates, Moody and Walsh",AURORA MED CENTER-WASHINGTON COUNTY
Bates-Flores,AURORA MED CTR KENOSHA
Bauer Inc,AURORA MED CTR MANITOWOC CTY
"Bauer, and Watson Little",AURORA MED CTR OSHKOSH
Bauer-Hawkins,AURORA MEDICAL CENTER
Bauer-Santos,AURORA MEMORIAL HSPTL BURLINGTON
Bautista Sons and,AURORA PSYCHIATRIC HSPTL
Baxter Inc,AURORA SAN DIEGO
"Bean Clark, Lamb and",AURORA SHEBOYGAN MEM MED CTR
Bean PLC,AURORA SINAI MEDICAL CENTER
Beck Group,AURORA ST LUKES MED CTR SOUTH SHORE
Beck Inc,AURORA ST LUKES MEDICAL CENTER
Beck LLC,AURORA VISTA DEL MAR HOSPITAL
Beck-Blanchard,AURORA WEST ALLIS MEDICAL CENTER
Beck-Howard,AUSTIN LAKES HOSPITAL
Becker Group,AUSTIN OAKS HOSPITAL
Becker LLC,AUSTIN STATE HOSPITAL
Becker Sons and,AUSTIN VA OUTPATIENT CLINIC
"Becker and Hancock Baker,",AUXILIO MUTUO HOSPITAL
Becker-Lopez,AVENTURA HOSPITAL AND MEDICAL CENTER
Becker-Robinson,AVERA BEHAVIORAL HEALTH CENTER
Bell Group,AVERA CREIGHTON HOSPITAL
Bell LLC,AVERA DE SMET MEMORIAL HOSPITAL
"Bell Meyer Stein, and",AVERA DELLS AREA HOSPITAL
Bell PLC,AVERA FLANDREAU HOSPITAL
"Bell Wallace, and Perkins",AVERA GETTYSBURG HOSPITAL
"Bell, and Rodriguez Gutierrez",AVERA GREGORY HEALTHCARE CENTER
Bell-Acevedo,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC
Bell-Buchanan,AVERA HEART HOSPITAL OF SOUTH DAKOTA
Bell-Cannon,AVERA HOLY FAMILY HOSPITAL
Bell-Flores,AVERA MARSHALL REG MED CENTER
Bell-Harris,AVERA MCKENNAN HOSPITAL
Bell-Jimenez,AVERA QUEEN OF PEACE HOSPITAL
Bell-Kelly,AVERA SACRED HEART HOSPITAL
Bell-Spencer,AVERA SAINT BENEDICT HEALTH CENTER
Bell-Zimmerman,AVERA SAINT LUKES HOSPITAL
Beltran and Sons,AVERA ST ANTHONY'S HOSPITAL
"Beltran, Rivera and Marquez",AVERA ST MARY'S HOSPITAL
Bender-Allen,AVERA TYLER HOSPITAL
Benitez Ltd,AVERA WESKOTA MEMORIAL MEDICAL CENTER
"Benjamin and Jennings Cunningham,",AVITA ONTARIO
"Benjamin and Maddox, Phillips",AVOYELLES HOSPITAL
Benjamin-Stewart,BACHARACH INSTITUTE FOR REHABILITATION
Benjamin-Williams,BACON COUNTY HOSPITAL
"Bennett Byrd, Cruz and","BAILEY MEDICAL CENTER, LLC"
Bennett Group,"BAKERSFIELD BEHAVORIAL HEALTHCARE HOSPITAL, LLC"
Bennett Inc,BAKERSFIELD HEART HOSPITAL
Bennett LLC,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET
Bennett Ltd,BALDPATE HOSPITAL
Bennett PLC,BALDWIN AREA MED CTR
Bennett Sons and,BALLARD REHABILITATION HOSP
"Bennett and Smith Burton,",BALLINGER MEMORIAL HOSPITAL
"Bennett, Krause and Wagner",BALTIMORE VA MEDICAL CENTER
Bennett-Brooks,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS
Bennett-Lopez,BANNER BAYWOOD MEDICAL CENTER
Bennett-Moses,BANNER BEHAVIORAL HEALTH HOSPITAL
Bennett-Ramirez,BANNER BOSWELL MEDICAL CENTER
Bennett-Roberts,BANNER CASA GRANDE MEDICAL CENTER
Bennett-Vang,BANNER CHURCHILL COMMUNITY HOSPITAL
Benson Group,BANNER DEL E. WEBB MEDICAL CENTER
Benson Ltd,BANNER DESERT MEDICAL CENTER
Benson PLC,BANNER ESTRELLA MEDICAL CENTER
Benson-Miller,BANNER FORT COLLINS MEDICAL CENTER
Benson-White,BANNER GATEWAY MEDICAL CENTER
Bentley Inc,BANNER GOLDFIELD MEDICAL CENTER
Bentley PLC,BANNER GOOD SAMARITAN MEDICAL CENTER
Berg PLC,BANNER HEART HOSPITAL
Berg-Avery,BANNER IRONWOOD MEDICAL CENTER
Berg-Haney,BANNER LASSEN MEDICAL CENTER
"Bernard, Griffith and Garcia",BANNER THUNDERBIRD MEDICAL CENTER
Bernard-Jones,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS
Berry Group,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS
Berry Inc,BAPTIST EASLEY HOSPITAL
Berry LLC,BAPTIST EMERGENCY HOSPITAL
Berry Ltd,BAPTIST EMERGENCY HOSPITAL - HAUSMAN
Berry PLC,BAPTIST EMERGENCY HOSPITAL - OVERLOOK
"Berry, Anderson Hernandez and",BAPTIST EMERGENCY HOSPITAL - THOUSAND OAKS
Berry-Grant,BAPTIST EMERGENCY HOSPITAL - WESTOVER HILLS
Berry-Maldonado,BAPTIST EMERGENCY HOSPITAL - ZARZAMORA
Berry-Moore,BAPTIST HEALTH - HEBER SPRINGS
Bird Inc,"BAPTIST HEALTH EXTENDED CARE HOSPITAL-LITTLE ROCK, INC."
Bird LLC,BAPTIST HEALTH LA GRANGE
Bishop Group,BAPTIST HEALTH LEXINGTON
Bishop Inc,BAPTIST HEALTH MADISONVILLE
Bishop Ltd,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA
"Bishop Munoz and Davies,",BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY
Bishop PLC,BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK
"Bishop and Hunt Mccann,",BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK
Bishop-King,BAPTIST HEALTH MEDICAL CENTER-CONWAY
Black Inc,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
Black LLC,BAPTIST HEALTH PADUCAH
Black PLC,BAPTIST HEALTH REHABILITATION INSTITUTE
"Black Stein and Brown,",BAPTIST HEALTH RICHMOND
"Black, Zuniga and Reed",BAPTIST HOSPITAL
"Black, and Mckinney Lewis",BAPTIST HOSPITAL FOR WOMEN
Black-Blake,BAPTIST HOSPITAL LOUISVILLE
Black-Hunter,BAPTIST HOSPITAL OF EAST TENNESSEE
Black-Morrison,BAPTIST HOSPITAL OF MIAMI
Blackburn LLC,BAPTIST HOSPITALS OF SOUTHEAST TEXAS
Blackwell Group,BAPTIST HOSPITALS OF SOUTHEAST TEXAS FANNIN BEHAVIORAL CENTER
Blackwell Ltd,BAPTIST MEDICAL CENTER
Blackwell-Howard,BAPTIST MEDICAL CENTER - ATTALA
Blackwell-Hurst,BAPTIST MEDICAL CENTER - BEACHES
Blair LLC,BAPTIST MEDICAL CENTER - NASSAU
"Blair, Johnson and Roberts",BAPTIST MEDICAL CENTER - PRINCETON
Blair-Butler,BAPTIST MEDICAL CENTER EAST
Blair-Hernandez,BAPTIST MEDICAL CENTER JACKSONVILLE
Blair-Perez,BAPTIST MEDICAL CENTER LEAKE
Blake LLC,BAPTIST MEDICAL CENTER SOUTH
Blake-Thomas,BAPTIST MEDICAL CENTER YAZOO
Blankenship Group,BAPTIST MEMORIAL HOSPITAL
"Blankenship Mcdonald, and Rodriguez",BAPTIST MEMORIAL HOSPITAL - CALHOUN
Blankenship-Mendoza,BAPTIST MEMORIAL HOSPITAL - COLLIERVILLE
Blevins Group,BAPTIST MEMORIAL HOSPITAL - DESOTO
Bolton-Rios,BAPTIST MEMORIAL HOSPITAL - GOLDEN TRIANGLE
"Bond, Gross and Murray",BAPTIST MEMORIAL HOSPITAL - HUNTINGTON
Bond-Gomez,BAPTIST MEMORIAL HOSPITAL - NORTH MS
Bonilla LLC,BAPTIST MEMORIAL HOSPITAL - UNION CITY
Booker-Mitchell,BAPTIST MEMORIAL HOSPITAL - UNION COUNTY
Boone Group,BAPTIST MEMORIAL HOSPITAL FOR WOMEN
Boone Inc,BAPTIST MEMORIAL HOSPITAL TIPTON
Boone-Duffy,BAPTIST MEMORIAL HOSPITAL-BOONEVILLE
Booth-Huang,BAPTIST MEMORIAL REHABILITATION HOSPITAL
Bowen Inc,BAPTIST MEMORIAL RESTORATIVE CARE HOSPITAL
"Bowen Parker, and Peterson",BAPTIST ORANGE HOSPITAL
Bowers Group,BAPTIST REGIONAL MEDICAL CENTER
Bowers Inc,BAPTIST REHABILITATION-GERMANTOWN
Bowers Ltd,BAPTIST ST. ANTHONY'S HEALTH SYSTEM - BAPTIST CAMPUS
Bowers-Stewart,BARAGA COUNTY MEMORIAL HOSPITAL
Bowman Ltd,BARBOURVILLE ARH HOSPITAL
Bowman PLC,BARIX CLINICS OF PENNSYLVANIA
Bowman-Garcia,BARLOW RESPIRATORY HOSPITAL
Bowman-Guzman,BARNES-JEWISH HOSPITAL
Boyd LLC,BARNES-JEWISH HOSPITAL - NORTH
Boyd Ltd,BARNES-JEWISH HOSPITAL - PSYCHIATRIC SUPPORT CENTER
"Boyd, Lee and Vasquez",BARNES-JEWISH ST. PETERS HOSPITAL
Boyd-Fisher,BARNES-JEWISH WEST COUNTY HOSPITAL
